GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,fpoe,gruene,kpoe,bzoe,cpoe,puma
G60411,Feldbach,3505,2102,2066,36,939,733,178,94,51,56,15,0
G60412,Fladnitz im Raabtal,599,467,462,5,145,227,58,11,7,11,3,0
G60413,Frannach,446,358,355,3,103,188,44,6,7,6,1,0
G60414,Frutten-Gießelsdorf,577,424,419,5,107,274,20,2,6,7,3,0
G60415,Glojach,196,164,159,5,33,84,17,8,8,6,3,0
G60416,Gnas,1568,1114,1099,15,215,695,103,34,16,28,8,0
G60417,Gniebing-Weißenbach,1767,1129,1114,15,319,533,126,42,37,37,20,0
G60418,Gossendorf,759,544,533,11,163,267,68,10,8,14,3,0
G60419,Grabersdorf,296,239,237,2,47,156,17,7,6,2,2,0
G60420,Hatzendorf,1478,989,976,13,284,514,101,25,20,27,5,0
G60421,Hohenbrugg-Weinberg,836,611,601,10,219,286,59,16,6,13,2,0
G60422,Jagerberg,1429,1062,1044,18,254,654,77,16,14,23,6,0
G60423,Johnsdorf-Brunn,603,467,463,4,146,248,42,7,9,11,0,0
G60424,Kapfenstein,1365,961,954,7,298,518,81,17,14,22,4,0
G60425,Kirchbach in Steiermark,1304,931,920,11,232,534,62,34,27,27,4,0
G60426,Kirchberg an der Raab,1623,1083,1072,11,297,555,140,30,21,22,7,0
G60427,Kohlberg,447,369,365,4,91,231,16,9,3,14,1,0
G60428,Kornberg bei Riegersburg,981,676,666,10,163,389,71,17,11,15,0,0
G60429,Krusdorf,326,248,246,2,54,167,12,5,6,2,0,0
G60430,Leitersdorf im Raabtal,531,425,419,6,207,133,52,7,6,12,2,0
G60431,Lödersdorf,588,435,425,10,115,253,33,13,4,6,1,0
G60432,Maierdorf,462,375,369,6,93,240,24,4,0,5,3,0
G60433,Merkendorf,980,702,693,9,236,321,81,24,9,18,4,0
G60434,Mitterlabill,360,260,257,3,36,185,15,7,8,5,1,0
G60435,Mühldorf bei Feldbach,2532,1688,1663,25,501,864,148,52,27,49,22,0
G60436,Oberdorf am Hochegg,621,483,478,5,229,199,28,4,4,14,0,0
G60437,Oberstorcha,509,320,318,2,102,145,53,3,4,8,3,0
G60438,Paldau,1726,1189,1173,16,367,596,142,10,14,36,8,0
G60439,Perlsdorf,310,247,241,6,60,140,20,12,4,2,3,0
G60440,Pertlstein,677,507,499,8,147,239,91,8,8,5,1,0
G60441,Petersdorf II,694,477,468,9,120,243,54,17,16,16,2,0
G60442,Pirching am Traubenberg,1260,899,890,9,176,476,135,21,28,37,17,0
G60443,Poppendorf,577,452,439,13,69,305,34,18,4,6,3,0
G60444,Raabau,480,389,378,11,111,203,33,10,11,10,0,0
G60445,Raning,672,522,514,8,101,346,44,10,3,9,1,0
G60447,Riegersburg,2012,1369,1356,13,322,789,133,53,24,27,8,0
G60448,Sankt Anna am Aigen,1532,974,964,10,179,610,108,18,15,22,12,0
G60449,Sankt Stefan im Rosental,3109,2195,2170,25,607,1144,235,51,55,66,12,0
G60450,Schwarzau im Schwarzautal,544,389,385,4,57,235,60,8,10,12,3,0
G60451,Stainz bei Straden,802,591,586,5,171,308,59,22,9,12,5,0
G60452,Studenzen,554,417,414,3,129,198,61,11,10,5,0,0
G60453,Trautmannsdorf in Oststeiermark,688,492,486,6,257,165,36,10,3,12,3,0
G60454,Unterauersbach,395,310,305,5,42,217,27,7,5,6,1,0
G60455,Unterlamm,1082,809,803,6,105,574,99,6,6,10,3,0
G60456,Zerlach,1457,1066,1053,13,193,644,119,28,42,24,3,0
G60501,Altenmarkt bei Fürstenfeld,986,708,699,9,182,387,51,32,13,30,4,0
G60502,Bad Blumau,1277,850,834,16,149,518,83,35,9,29,11,0
G60503,Burgau,844,610,593,17,218,286,41,22,7,18,1,0
G60504,Fürstenfeld,4801,2918,2870,48,863,1411,210,170,70,130,16,0
G60505,Großsteinbach,1077,813,789,24,168,473,76,25,12,31,4,0
G60506,Großwilfersdorf,1137,751,741,10,201,424,66,15,16,16,3,0
G60507,Hainersdorf,528,385,377,8,63,253,25,21,2,11,2,0
G60508,Ilz,2130,1444,1416,28,384,636,169,98,43,73,13,0
G60509,Loipersdorf bei Fürstenfeld,1156,741,722,19,144,395,123,26,12,20,2,0
G60510,Nestelbach im Ilztal,928,626,612,14,143,298,91,29,19,25,7,0
G60511,Ottendorf an der Rittschein,1256,844,835,9,212,448,103,30,10,23,9,0
G60512,Söchau,1213,820,808,12,244,410,77,35,12,29,1,0
G60513,Stein,411,308,301,7,44,206,24,7,7,12,1,0
G60514,Übersbach,990,651,636,15,151,393,43,24,9,15,1,0
G60601,Attendorf,1467,927,917,10,267,376,142,43,50,31,8,0
G60602,Brodingberg,1015,767,764,3,166,369,118,30,37,29,15,0
G60603,Deutschfeistritz,3045,1993,1967,26,782,601,354,86,73,62,9,0
G60604,Dobl,1294,858,842,16,171,398,156,24,34,37,22,0
G60605,Edelsgrub,564,409,402,7,119,197,47,16,15,8,0,0
G60606,Eggersdorf bei Graz,1626,1084,1070,14,318,445,132,66,60,34,15,0
G60607,Eisbach,2431,1732,1715,17,678,528,255,109,79,54,12,0
G60608,Feldkirchen bei Graz,4183,2370,2350,20,852,770,424,80,112,99,13,0
G60609,Fernitz,2602,1718,1702,16,604,659,190,90,77,65,17,0
G60610,Frohnleiten,4998,3424,3384,40,1762,883,336,165,142,69,27,0
G60611,Gössendorf,2926,1799,1782,17,739,519,307,54,87,65,11,0
G60612,Grambach,1272,901,887,14,333,346,103,45,30,20,10,0
G60613,Gratkorn,5939,3903,3870,33,2023,785,556,174,157,145,30,0
G60614,Gratwein,2954,1962,1936,26,1001,379,257,117,103,73,6,0
G60615,Großstübing,298,241,239,2,81,121,23,1,4,9,0,0
G60616,Gschnaidt,297,214,212,2,93,87,23,0,4,5,0,0
G60617,Hart bei Graz,3559,2276,2248,28,886,634,240,267,132,66,23,0
G60618,Haselsdorf-Tobelbad,1096,709,703,6,332,199,78,29,33,21,11,0
G60619,Hausmannstätten,2301,1483,1464,19,445,631,146,103,77,55,7,0
G60620,Hitzendorf,3014,1999,1970,29,673,806,243,73,80,82,13,0
G60621,Höf-Präbach,1146,850,837,13,261,371,78,44,57,23,3,0
G60622,Judendorf-Straßengel,4409,2918,2887,31,1319,659,400,216,183,93,17,0
G60623,Kainbach bei Graz,2192,1246,1222,24,351,537,117,100,62,32,23,0
G60624,Kalsdorf bei Graz,4423,2419,2395,24,1045,674,351,104,119,84,18,0
G60625,Krumegg,1176,756,745,11,179,385,101,31,26,20,3,0
G60626,Kumberg,2835,1695,1669,26,440,692,176,176,104,60,21,0
G60627,Langegg bei Graz,681,487,474,13,111,233,51,26,20,27,6,0
G60628,Laßnitzhöhe,2212,1359,1335,24,451,525,103,143,79,28,6,0
G60629,Lieboch,3717,2284,2257,27,939,617,293,164,116,103,25,0
G60630,Mellach,976,657,651,6,236,252,79,32,22,28,2,0
G60631,Nestelbach bei Graz,911,640,628,12,202,278,70,37,23,16,2,0
G60632,Peggau,1651,989,975,14,437,226,207,24,46,29,6,0
G60633,Pirka,2515,1502,1480,22,557,409,246,60,92,95,21,0
G60634,Hart-Purgstall,1347,925,914,11,220,440,110,40,53,31,20,0
G60635,Raaba,1718,1143,1125,18,425,399,129,64,66,39,3,0
G60636,Röthelstein,176,134,134,0,67,36,12,3,2,14,0,0
G60637,Rohrbach-Steinberg,1130,785,774,11,352,210,95,35,34,41,7,0
G60639,Sankt Bartholomä,1126,782,778,4,257,345,96,27,30,22,1,0
G60640,Sankt Marein bei Graz,1039,703,697,6,181,301,65,72,49,24,5,0
